Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MSTU,9642064,400,7.78,1200,7.77,7.79,9559414,82650
TSLZ,5568240,6700,3.49,6805,3.48,3.49,5485069,83171
MSTZ,2819037,600,10.52,600,10.49,10.49,2716048,102989
ETHU,1516433,40190,2.38,40000,2.36,2.37,1516433,0
NVDQ,1325283,7880,3.10,8356,3.09,3.10,1325283,0
TSLT,961785,800,16.11,931,16.08,16.10,947902,13883
INDA,870837,6,52.10,8,52.09,52.09,823481,47356
NVDX,838495,1204,9.66,1401,9.64,9.66,838123,372
BITX,775034,1400,40.93,1400,40.83,40.93,773437,1597
UVXY,772221,300,19.48,122,19.40,19.48,748783,23438
IGV,684432,180,96.80,1,96.47,96.48,682194,2238
USHY,681554,27,37.25,50,37.05,37.05,681311,243
VXX,651092,200,45.31,2,45.30,45.27,643633,7459
IEFA,567202,1,78.23,100,77.92,77.97,532526,34676
GOVT,434479,1238,22.86,20,22.81,22.84,434117,362
ITB,384302,100,100.00,100,93.75,97.12,383392,910
USMV,328638,17,100.00,10,92.30,92.85,317118,11520
SVIX,326132,2,23.18,703,23.03,23.06,306116,20016
ARKG,313908,1,23.84,22,23.33,23.48,311389,2519
UVIX,303884,190,29.74,10,29.10,29.28,300662,3222
IYZ,263345,1,29.16,0,0.00,27.68,263300,45
MAGS,257606,100,49.65,5,49.15,49.57,251422,6184
CALF,214171,10,39.00,5,36.38,38.75,214020,151
MTUM,201307,5,215.00,10,194.00,210.61,200977,330
FBTC,193300,3000,76.57,2700,76.40,76.26,189546,3754
CBOE,191998,20,230.01,1,180.00,214.22,191545,453
NOBL,178418,730,102.00,105,100.00,100.99,176290,2128
IAGG,170291,0,0.00,0,0.00,49.83,170040,251
ROBN,168200,717,16.95,600,16.87,16.97,167069,1131
SPYI,166267,10,49.95,93,49.67,49.95,165854,413
EFV,157712,384,60.35,54,54.00,60.32,157659,53
COWZ,155157,251,55.80,1,54.00,55.38,154604,553
EZU,144410,25,55.44,100,54.00,55.11,144409,1
BBJP,143541,7,61.00,0,0.00,58.66,143539,2
MOAT,133214,1,91.45,10,89.80,90.00,132221,993
AAAU,125332,10100,29.94,10100,29.81,29.84,124622,710
ITA,112346,7,159.50,32,158.00,159.50,112346,0
QUAL,105727,0,0.00,0,0.00,174.84,103119,2608
SVXY,101066,100,48.99,100,48.79,48.80,97989,3077
PAVE,99817,5,47.00,1,38.00,39.34,96040,3777
VLUE,97474,0,0.00,0,0.00,108.42,97474,0
JBBB,96966,90,48.88,0,0.00,48.69,96965,1
IDV,96184,0,0.00,5,31.27,31.38,96184,0
EUAD,95974,4,35.00,6,34.43,34.72,95973,1
VIXY,90178,100,44.49,200,44.21,44.26,89749,429
REM,89069,0,0.00,1,21.00,22.76,89060,9
VNM,81300,2118,12.69,213,12.50,12.69,78565,2735
ARKB,77028,2600,87.48,2100,87.30,87.74,76884,144
EFAV,71273,0,0.00,0,0.00,78.16,68838,2435
IYT,69346,2,65.92,1,65.44,65.65,68894,452
SDVD,69225,0,0.00,0,0.00,20.47,67132,2093
LVHI,64456,0,0.00,153,32.60,32.85,62254,2202
FLOT,62670,200,51.05,200,51.00,51.02,62670,0
HEFA,60373,0,0.00,1,32.60,37.35,60373,0
BOXX,58686,226,111.39,4294,111.38,111.39,58176,510
FETH,55180,10000,20.67,10000,20.55,20.70,55178,2
PBUS,53776,0,0.00,0,0.00,57.79,29078,24698
JCPB,53631,35,46.90,0,0.00,46.83,40031,13600
BTCZ,53420,800,5.89,10,5.85,5.90,53420,0
ITM,51896,0,0.00,0,0.00,45.61,46174,5722
ICSH,49726,2447,50.62,3000,50.61,50.62,49726,0
RDVI,49362,500,24.39,0,0.00,24.25,49362,0
FOCT,48446,0,0.00,0,0.00,42.35,48446,0
BTCI,47515,0,0.00,1,54.08,54.47,47515,0
HYD,43844,100,52.90,50,51.40,51.54,39801,4043
EFG,42381,0,0.00,0,0.00,103.64,42381,0
BUFR,41786,0,0.00,0,0.00,30.29,41786,0
FSEP,41651,0,0.00,0,0.00,45.46,41651,0
FBCG,39816,0,0.00,0,0.00,43.02,39291,525
TLTW,39521,4,23.86,4,23.83,23.84,39326,195
IWMI,37586,0,0.00,5,43.03,46.50,37586,0
GOVZ,36114,0,0.00,1,10.05,10.07,36114,0
HODL,35234,8000,24.90,8000,24.75,24.99,34432,802
VUSB,35159,397,49.83,3,49.64,49.80,35059,100
OVL,30520,0,0.00,0,0.00,45.59,30520,0
BBEU,29332,0,0.00,0,0.00,63.41,29332,0
QDTE,28918,1000,36.93,1000,36.84,36.91,28917,1
MLN,27950,0,0.00,0,0.00,17.40,27950,0
KNG,26364,0,0.00,2,49.13,50.23,26265,99
JMST,26358,0,0.00,0,0.00,50.90,26258,100
DFIC,25208,0,0.00,0,0.00,28.52,23708,1500
BBCA,24955,0,0.00,0,0.00,73.16,24955,0
EEMV,24352,7,58.96,0,0.00,58.96,23135,1217
BBAX,23724,0,0.00,0,0.00,49.32,23724,0
CNYA,22879,0,0.00,1,26.55,28.33,22879,0
PICK,22331,0,0.00,0,0.00,38.07,20831,1500
